dataset,missing_ratio,missing_pattern,missing_pattern_label,algorithm,algorithm_label,fold_index,imputer,tuned_k,train_objects,validation_objects,test_objects,reduction_time,tuning_time,preprocessing_time,selection_pipeline_time,selected_attributes,reduction_rate,test_f1_score,test_ranking_loss,test_coverage,test_hamming_loss,chosen_features
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.047224667003320064,0.0,0.0,0.047224667003320064,1,99.65986394557824,0.03333333507180214,0.615,3.15,0.2333333333333333,Att2
scene,0.15,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.04808241600403562,0.0,0.0,0.04808241600403562,1,99.65986394557824,0.05000000074505806,0.41,2.05,0.17499999999999996,Att3
yeast,0.05,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.01229737500398187,0.0,0.0,0.012297916000534315,1,99.02912621359224,0.5154770612716675,0.3367547928262214,9.3,0.3346153846153847,Att1
yeast,0.05,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.01206804200046463,0.0,0.0,0.01206895799987251,1,99.02912621359224,0.4469444751739502,0.3102083333333333,8.7,0.3576923076923077,Att1
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.01408083300339058,0.0,0.0,0.01408083300339058,1,99.02912621359224,0.5154770612716675,0.3367547928262214,9.3,0.3346153846153847,Att1
yeast,0.05,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.013616916003229562,0.0,0.0,0.013616916003229562,1,99.02912621359224,0.4469444751739502,0.3102083333333333,8.7,0.3576923076923077,Att1
yeast,0.1,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.016059708999819122,0.0,0.0,0.016060249996371567,1,99.02912621359224,0.5167338252067566,0.2975313079777365,8.45,0.35384615384615387,Att1
yeast,0.1,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.014933667000150308,0.0,0.0,0.014934124999854248,1,99.02912621359224,0.1498412787914276,0.30250000000000005,8.75,0.3961538461538461,Att1
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.011201000001165085,0.0,0.0,0.011201000001165085,1,99.02912621359224,0.45596402883529663,0.33216875386518246,9.65,0.3538461538461539,Att2
yeast,0.1,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.011673332999635022,0.0,0.0,0.011673332999635022,1,99.02912621359224,0.47638893127441406,0.27847222222222223,7.95,0.36538461538461536,Att7
yeast,0.15,mcar,MCAR,ours,Ours,1,native,1,20,0,20,0.016105000002426095,0.0,0.0,0.016105792004964314,1,99.02912621359224,0.43073588609695435,0.29044758812615956,8.45,0.3384615384615385,Att1
yeast,0.15,mcar,MCAR,ours,Ours,2,native,1,20,0,20,0.015829999996640254,0.0,0.0,0.01583083299919963,1,99.02912621359224,0.4821825921535492,0.2890972222222222,8.55,0.2923076923076923,Att1
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,1,native,1,20,0,20,0.022222499996132683,0.0,0.0,0.022222499996132683,1,99.02912621359224,0.4731420874595642,0.3319345238095238,9.05,0.3384615384615384,Att2
yeast,0.15,mcar,MCAR,mcb-ar,MCB-AR,2,native,1,20,0,20,0.021311249998689163,0.0,0.0,0.021311249998689163,1,99.02912621359224,0.46166667342185974,0.2521527777777778,8.3,0.2961538461538462,Att6
